Epoch,MCC,Cutoff
0,0.1821648986951668,0.42
5,0.19791534359692023,0.47
10,0.19827128419835097,0.47
15,0.2029066958469217,0.6
20,0.20126048086002454,0.55
25,0.21187804729732923,0.62
30,0.21303559529039062,0.62
35,0.21100026776132733,0.54
40,0.21493857515920736,0.52
45,0.21117289570078285,0.61
50,0.21468943234570648,0.56
55,0.21099315122051077,0.57
60,0.20938799712054695,0.54
65,0.2105470004110388,0.55
70,0.20810602370057185,0.58
75,0.2129494580577574,0.52
80,0.20660421281646776,0.68
85,0.207913361323364,0.68
90,0.21350449094978205,0.6
95,0.21148970706681192,0.68
100,0.21184946928041076,0.67
105,0.21112415731132125,0.65
110,0.21099496813976337,0.68
115,0.21444687554461664,0.68
120,0.2053689459840366,0.51
125,0.20992285833714347,0.68
130,0.20827550587532206,0.5
135,0.2057535891675412,0.48
140,0.20933041050180098,0.62
145,0.21215601599740747,0.6
150,0.21915009195190532,0.62
155,0.21202457680098546,0.56
160,0.2080131666373928,0.57
165,0.20115203509824348,0.62
170,0.21442620027815576,0.56
175,0.20527603698780778,0.63
180,0.21287321165455317,0.59
185,0.21045970671554018,0.69
190,0.2062561411279134,0.71
195,0.21520773917376262,0.59
200,0.20869204417040915,0.56
205,0.20051380689966053,0.63
210,0.21193885161561554,0.56
215,0.21216526742996264,0.59
220,0.20704001752100648,0.57
225,0.2177231944193925,0.57
230,0.21151615935932958,0.56
235,0.21516807034114233,0.62
240,0.20464181810486476,0.46
245,0.21023580042252482,0.64
250,0.20986144186380185,0.66
255,0.2205259629274168,0.62
260,0.20881868677670803,0.66
265,0.2101401287415215,0.59
270,0.2065794475325581,0.55
275,0.21574631665858396,0.64
280,0.2099139782865544,0.52
285,0.20933369545337863,0.54
290,0.21702580392305124,0.66
295,0.21435757247835993,0.66
300,0.21207973838878352,0.6
305,0.20887098606053064,0.66
310,0.20983540305183357,0.66
315,0.20819165436923423,0.6
320,0.21086904296962702,0.68
325,0.21167913791997678,0.53
330,0.21455489785624077,0.71
335,0.21006416269776762,0.56
340,0.2099977176563519,0.56
345,0.21405468085156937,0.67
350,0.20892186920351088,0.57
355,0.21641561461737432,0.6
360,0.2094749845786402,0.56
365,0.20805708217160443,0.59
370,0.2126111581355582,0.62
375,0.21099171186645696,0.56
380,0.20921786256585537,0.49
385,0.21637625021938808,0.65
390,0.21311545661171402,0.56
395,0.2091751752019056,0.7
400,0.2111317667700007,0.52
405,0.2116875848265241,0.71
410,0.21424947367175057,0.56
415,0.21607849958328587,0.53
420,0.2101427340514499,0.55
425,0.21722259400481303,0.69
430,0.21169810912294004,0.53
435,0.21077567484256213,0.57
440,0.2131830049123628,0.59
445,0.20756331398777517,0.68
450,0.20925108051479516,0.57
455,0.21529356345873935,0.53
460,0.2125768614855321,0.68
465,0.21342314729320516,0.58
470,0.21189989119211275,0.68
475,0.21147966826022788,0.55
480,0.21044497725240607,0.54
485,0.2130022022766018,0.58
490,0.20843580801714837,0.68
495,0.2140717126422447,0.66
500,0.2093298032768648,0.52
505,0.21024561700815017,0.5
510,0.21412968610477245,0.65
515,0.2084705991731277,0.54
520,0.21122871604590135,0.51
525,0.21681375689113286,0.72
530,0.21287541697195872,0.7
535,0.2149061181058085,0.57
540,0.21602874643177114,0.57
545,0.21612208314491801,0.7
550,0.21186144051403913,0.5
555,0.20947422723032677,0.59
560,0.2111341491715572,0.58
565,0.2085982118666118,0.73
570,0.21075122548441225,0.7
575,0.21523306096455053,0.54
580,0.21420857693684703,0.52
585,0.21207037188067795,0.57
590,0.2072141273749706,0.69
595,0.211529076734631,0.58
600,0.21287747872474966,0.57
605,0.2094549761391851,0.7
610,0.21105011113168629,0.53
615,0.20971049567681962,0.58
620,0.2119253548989751,0.53
625,0.215566734808079,0.7
630,0.20950207460454295,0.57
635,0.21083346993861463,0.52
640,0.2098206401546687,0.57
645,0.21035682915621567,0.7
650,0.2119833421192963,0.63
655,0.21097398891525918,0.67
660,0.21249264737700768,0.68
665,0.20820213740115753,0.68
670,0.21462966768892233,0.65
675,0.21643236816173067,0.58
680,0.20851952299982393,0.56
685,0.2127033951486469,0.66
690,0.20624211342180426,0.5
695,0.21452678045402623,0.68
700,0.21096964817605832,0.68
705,0.21014337851062542,0.67
710,0.2119287361928828,0.71
715,0.21121601320191172,0.7
720,0.20946160593275248,0.71
725,0.21131425607579685,0.68
730,0.2130555532961421,0.58
735,0.20969179341922792,0.59
740,0.21058402197154447,0.58
745,0.21369986781583336,0.68
750,0.21260823114341434,0.69
755,0.2081395110216319,0.54
760,0.2072380045276944,0.53
765,0.20998037645347029,0.65
770,0.20997203626001174,0.69
775,0.21164958107173654,0.54
780,0.20942529026746814,0.53
785,0.21146974343839028,0.56
790,0.20778092171425103,0.7
795,0.20778092171425103,0.69
800,0.20713626858477258,0.51
805,0.20926670841192868,0.52
810,0.2103059972022612,0.53
815,0.22036530939531124,0.66
820,0.2059120219161925,0.58
825,0.2175778887856105,0.68
830,0.21321650354958394,0.66
835,0.21044137712999236,0.67
840,0.20943221435457582,0.61
845,0.20693332977620346,0.5
850,0.20691346446032247,0.53
855,0.2051620245370151,0.71
860,0.20885740257206972,0.69
865,0.205481544908144,0.49
870,0.20902852410221098,0.69
875,0.21052893784433774,0.56
880,0.20588013005571987,0.58
885,0.21559218169350866,0.59
890,0.20964656809198381,0.69
895,0.20835180359998437,0.71
900,0.21102364153218622,0.67
905,0.20800261551508437,0.49
910,0.210722021187373,0.61
915,0.2063111975767816,0.7
920,0.20582371965433885,0.57
925,0.20796616577971805,0.66
930,0.21066050606684486,0.66
935,0.20835109745742644,0.59
940,0.21019772578226853,0.57
945,0.20946623837719766,0.71
950,0.21094653431586952,0.69
955,0.2092294528114629,0.59
960,0.20777026456967745,0.69
965,0.20923743780407864,0.57
970,0.2097518470786805,0.68
975,0.21082294892662026,0.69
980,0.20250220093648977,0.53
985,0.21208856648847643,0.66
990,0.2101363085503086,0.66
995,0.20762252008476806,0.69
